서울,노원구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203.61,0.38,0.00,0.38,0.00,0.19,3.03,32.39,126.90,74.63,0.00,0.00,0.00,0.00,0.00,4.36,0.00,23.11,0.00,502.87,5.11,0.00,2.27,0.00,54.36,4.17,8.14,0.38,0.00,0.00,7.01,0.57,0.00,0.00,0.19,0.95,0.00,0.95,0.38,0.00,0.19,0.00,0.00,0.00,0.57,0.00,9.47,0.00,0.00,
서울,도봉구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204.06,0.30,0.00,0.00,0.00,0.00,4.25,37.65,51.32,42.51,0.00,0.00,0.00,0.00,0.00,4.86,0.00,17.92,0.00,184.02,7.90,0.00,5.16,0.00,64.07,4.55,7.90,0.00,0.00,0.00,4.86,0.30,0.00,0.00,0.30,0.91,0.00,0.30,0.61,0.00,0.00,0.00,0.00,0.00,1.21,0.00,8.20,0.00,0.00,
서울,동대문구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187.80,0.29,0.00,0.29,0.29,0.29,5.51,40.93,63.57,52.54,0.00,0.00,0.00,0.00,0.00,6.97,0.00,132.36,0.00,750.62,7.26,0.29,2.61,0.00,98.69,5.51,6.68,0.29,0.00,0.00,7.26,0.00,0.00,0.00,0.29,1.16,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,16.25,0.00,0.29,
서울,동작구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,173.78,0.00,0.00,0.76,0.25,0.00,1.52,29.47,35.32,61.74,0.00,0.00,0.00,0.25,0.00,7.11,0.00,56.40,0.00,309.71,7.88,0.00,1.27,0.00,65.55,2.79,5.84,0.00,0.00,0.00,10.16,0.00,0.00,0.00,0.25,1.02,0.00,3.30,0.00,0.00,0.51,0.00,0.00,0.51,2.29,0.25,17.28,0.00,0.25,
서울,마포구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,254.45,0.27,0.00,0.80,0.00,0.54,0.54,40.49,52.02,123.60,0.00,0.00,0.00,0.00,0.27,4.02,0.00,34.32,0.00,11.80,3.22,0.27,3.22,0.27,65.69,4.02,5.90,0.27,0.00,0.54,4.02,0.00,0.00,0.00,0.54,1.07,0.00,2.41,0.00,0.00,0.80,0.00,0.00,0.27,0.00,0.00,16.89,0.27,0.27,
서울,서대문구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,274.14,0.64,0.00,0.00,0.32,0.00,1.61,42.79,47.30,69.18,0.00,0.00,0.00,0.00,0.00,2.90,0.00,22.20,0.00,1730.78,5.15,0.00,3.22,0.64,68.54,4.50,9.33,1.29,0.00,0.32,5.47,0.00,0.00,0.00,0.64,0.32,0.00,2.57,0.00,0.00,0.97,0.00,0.00,0.00,0.32,0.00,11.91,0.32,0.32,
서울,서초구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195.34,0.00,0.00,0.23,0.23,0.70,6.31,17.99,97.20,43.69,0.00,0.00,0.00,0.23,0.00,4.44,0.00,83.18,0.00,629.24,4.21,0.47,3.04,0.23,46.97,3.50,4.91,0.23,0.00,0.23,7.48,0.00,0.00,0.00,0.47,0.70,0.00,3.27,0.23,0.00,0.23,0.00,0.00,0.23,0.47,0.47,12.38,0.00,0.70,
서울,성동구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,176.97,0.34,0.00,0.34,0.34,0.00,2.36,27.93,49.12,77.38,0.00,0.00,0.00,0.34,0.00,5.72,0.00,81.08,0.67,490.20,5.05,0.67,4.37,0.67,103.96,3.03,7.74,0.00,0.00,0.67,7.40,0.00,0.00,0.00,0.00,1.01,0.00,2.02,0.67,0.00,0.34,0.00,0.00,0.00,1.01,0.34,13.12,0.00,0.34,
서울,성북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,269.15,0.68,0.00,0.23,0.00,0.23,1.36,37.51,39.33,72.29,0.00,0.00,0.00,0.23,0.00,6.82,0.00,27.05,0.00,973.17,10.46,0.23,2.50,0.00,73.43,4.09,5.23,0.23,0.00,0.00,5.00,0.23,0.00,0.00,0.00,0.91,0.00,0.91,0.23,0.00,0.00,0.00,0.00,0.23,0.45,0.00,13.18,0.00,0.45,
서울,송파구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,202.99,0.74,0.00,0.15,0.15,0.74,2.08,22.47,78.87,46.43,0.00,0.00,0.00,0.15,0.00,3.57,0.00,58.78,0.15,1187.87,5.80,0.15,4.32,0.15,56.85,2.23,6.85,0.15,0.00,0.00,6.70,0.30,0.15,0.00,0.60,1.04,0.00,1.93,0.15,0.00,0.15,0.00,0.00,0.60,0.74,0.00,9.67,0.00,0.45,
