통제번호,키워드1,키워드2,키워드3
1A008.,장약; charges,2; 4; 5-azido-2-nitrotriazole; 6-Trinitrotoluene; ADHTDN; ADNBF; ADNT; BDNTA; BNCP; BNNII; BTAT; BTNEN; CL-14; CL-20; CP; DAAF; DAAOF; DAAzF; DADE; DATB; DBT; DDFP; DDPO; DINGU; DIPAM; DNAM; DNAN; DNBT; DNGU; DNI; FDIA; FOX-12; Furazans; Guanidine; GUDN; HMX; HNAD; HNIW; HNS; Imidazoles; K-55; K-6; Keto-RDX; LAX-112; NG; Nitrocellulose; Nitroglycerine; Nitroglycol; Nitroguanidine; NNHT; NQ; NTAT; NTDNIA; NTDNT; NTNMH; NTNT; NTO; ONTA; PDNT; Pentaerythritoltetranitrate; PETN; Picrylchloride; Polynitrocubanes; PTIA; PYX; RDX; TACOT; TAGN; TATB; TEDDZ; Tetrazines; Tetrazoles; Tetryl; TEX; TNAD; TNAZ; TNGU; TNP; TNT; TriacetoneTriperoxide; Triazines; Triazoles,폭발; 폭발물; explosive
1A008.a.,작약; 장약; 폭발; 폭발물; 성형장약; 성형폭약; 성형작약탄; 자가단조탄; 폭발성형관통탄; 지향성 폭약; EFP; explosive; explosively formed penetrator; shaped charge,,
1A008.b.,작약; 폭발; 폭발물; 성형폭약; 폭발절단; 성형작약탄; 선형 성형 절단 장약; FLSC; linear shaped charge; LSC,선형절단장약,
1A008.c.,도폭선; detonating cord,,
1A008.d.,절단기; 파단기; cutter; severing tool,,
1A102.,카본; 탄소; 열분해; 탄소-탄소; carbon-carbon; pyrolized,로켓; 관측로켓; 우주선 발사체; sounding rocket,C-C
1A202.,모재; 튜브; 복합재; 복합소재; 복합재료; 복합구조물; 적층구조물; 탄소복합재료; 복합재료 구조물; composite; composite; composite structures; laminates; matrix; tube,원통; 원통형; 프리프레그; 아라미드 튜브; 카본 튜브; 탄소 튜브; aramid tube; carbon tube; cylinder; cylindrical; prepreg,농축; 로터; 탄소; 원자로; 회전자; enriched; nuclear reactor; rotor
1A225.,백금; 중수; 트리튬; 삼중수소; catalyst; heavy water; platinum; 플래티늄 platnised catalyst; Pt 촉매; tritum,촉매,
1A226.,망; 충전; 패킹; 인청동; 진공증류탑; mesh; packing; phosphor-bronze; tower; vaccum distillation tower.,진공증류탑,
1A227.,차폐; 납유리; 차폐창; 저방사능구역; cold area; lead glass; radiation shield; radiation shielding windows; shieding,틀; 프레임; frame,방사능; 방사선; radiation; radioactive
1A228.,삼중수소 생산; 삼중수소 포집재; 리튬 소결체; lithium pellet; tritium getter,삼중수소; 리튬 동위원소; 리튬-6; 리툼-6 동위원소; lithium-6; lithium-6 isotope; lithium isotope; tritium,농축; 원자로; 피복재; 동위원소; cladding; enriched; isotope; nuclear reactor; tritium
1B001.,권선기; 프리폼생산장비; 복합재료제조부품; 복합재료제조장비; 탄소섬유검사장비; 탄소섬유생산장비; 프리프레그생산장비; braiding; interlacing; weaving,Fibrous or filamentary material production equipment,복합재료장비
1B001.a.,와인딩기계; 와인딩머신; 필라멘트와인딩머신; 필라멘트와인딩장치; filamentwindingmachine,와인딩; 주요서보위상; 필라멘트와인딩; primaryservopositioning,멀티헤드형; 수지함침조; 회전맨드릴; 2축; 3축; CNC; Interlacing; Tape-laying
1B001.b.,복합재제조; 복합재제조장비; 테이프적층기계; tape-laying machine,필라멘트와인딩,사슬배치; Tow-placement
1B001.c.,제직기; 다방향제직기; 다차원제직기; 브레이딩머신; 복합재료와인딩머신; braidingmachine; weaving; weavingmachine,직조기; 꼬여짜기장비,개조용키트; multiaxial; multidimensional; multidirectional
1B001.d.,강화섬유개조; 강화섬유제조,reinforcement fibres,고분자섬유; 내화세라믹; 알루미나섬유; 실리콘카바이드섬유; Chemicalvapordeposition; CVD; fiberstraining; refractory ceramics; wet-spinning
1B001.e.,열용융방식; hotmeltmethod,수지함침프리프레그,핫멜트
1B001.f.,비파괴검사장비; Non-destructive inspection equipment,엑스레이검사장비; 수치제어초음파검사기; NDI; NDT; X선 촬영기,비파괴; 침투법; 수치제어; 자분탐상법; 초음파탐상; 맴돌이전류시험; NDT; NDT inspectionequipment; non-destructive; ultrasonic testing machine
1B001.g.,토우위치제어,,토우배열기계; Tow-placementmachine
1B002.,금속분말생산; 금속합금분말생산기계,오염방지,contamination
1B003.,확산결합; 초소형성형,,superplastic forming
1B101.,섬유생산; 유기섬유생산; 유리섬유생산; 탄소섬유생산; 필라멘트생산; 테이프적층기계; 필라멘트와인딩기; 필라멘트와인딩장치; 구조용 복합재료생산장비; 섬유 배열 기계; 토우 배열 기계; 섬유/토우 배열 기계; Filamentwindingmachine,맨드렐; 섬유연신; 습식방사; 증착장비; 복합구조물; 복합재료압착; 복합재료판재; fibreplacementmachine; Tape-layingmachine; towplacementmachine,화학기상증착; CVD; vapourdeposition; wetspinning
1B102.,금속분말생산; 금속분말제조,전자분쇄장비; 플라즈마발생기; 구형알루미늄분말; Metalpowderproductionequipment,metalpowderproduction; Plasma generator
1B115.,추진제생산; 추진제제조,추진제구성물,봄베열량계; 적외선분광계; 원자흡수분광계; 가스크로마토그래피
1B116.,열분해소재생산; 열분해소재제조,열분해소재; 열분해 소재생성노즐,Nozzle; pyrolitically derived material
1B117.,배치혼합기; batch mixer,혼합기; mixer,
1B118.,연속혼합기; continuous mixer,혼합기; mixer,
1B119.,분쇄기; 유체에너지분쇄기,grinding; milling,제트밀; Fluid energy mill; jetmill
1B201.,필라멘트 와인딩 머신; 필라멘트 와인딩 장치; Filament winding machine,정밀 맨드렐; fiberpositioining; fiberwinding; fiberwrapping,권선; 권취
1B225.,전해조; electrolytic cell,불소 생산; fluorine production,불소; fluorine
1B226.,동위원소 분리기; 전자자기 동위원소 분리기; electromagnetic isotope separator,,
1B228.,극저온 수소 증류 칼럼; 수소 증류 칼럼; Hydrogen cryogenic distillation column; hydrogen distillation column,증류탑; 증류 칼럼; distillation column; distillation tower,
1B230.,,펌프; pump,포타슘 이미드; 포타슘 아마이드; potassium amide
1B231.,삼중수소 공장; 삼중수소 시설; 삼중수소 장비; tritium equipment; tritium facilities; tritium plants,삼중수소; 삼중수소 농축; 삼중수소 생산; 삼중수소 추출; 삼중수소 회수; 수소 냉각기; 헬륨 냉각기; helium refrigeration unit; hydrogen refrigeration unit; tritium,
1B232.,터보팽창기; 터보팽창기 압축기; Turboexpander; turboexpander compressor,,
1B233.,리튬 동위원소 분리 공장; 리튬 동위원소 분리 시설; 리튬 동위원소 분리 장비; 리튬 동위원소 분리 시스템,이온교환시스템; 이온교환시스템 구성품; 이온교환시스템 구성부품; 화학교환 시스템; 화학교환 시스템 구성품; 화학교환 시스템 구성부품; 리튬 수산화용액용 증발기; 리튬 동위원소 분리; 리튬 동위원소 분리 공장; 리튬 동위원소 분리 시설; 리튬 아말감 펌프; 수은 아말감 펌프; 리튬 아말감 전해질 셀; 액체 교환 충전탑; 액체 교환 충전칼럼; 액체-액체 교환 충전탑; Chemical exchange system; Chemical exchange system component part; Ion exchange system; Ion exchange system component part; liquid exchange column; liquid exchange tower; liquid-liquid exchange column; Lithium amalgam electrolysis cell; lithium amalgam pump; lithium hydroxide solution; lithium isotope separation; Mercury amalgam pump,크립탠드; 라리에트 에테르; 크라운 에테르; 리튬 아말감; 리튬 동위원소; 리튬 동위원소; crown ether; cryptand; lariat ether; lithium amalgam; lithium isotope; lithium isotope
1B234.,폭발성 격납 용기; 폭발성 격납 장치; 폭발성 격납 챔버; 폭발성 격납 컨테이너; explosive containment chamber; explosive containment container; explosive containment device; explosive containment vessel,폭발물; explosive containment,
1C001.,전자기파; 폴리피롤; 평면흡수체; 폴리아닐린; 폴리티오펜; 폴리티에닐렌-비닐렌; 폴리페닐렌-비닐렌; 전도성 고분자; absorber; conductive polymer; electromagnetic; intrinscially conductive polymeric material; planar; Polyaniline; Poly phenylene-vinylene; Polypyrrole; Poly thienylene-vinylene; Polythiophene,고분자; 고분자; 근적외선; infrared; near; polymer; polymer,파장; 레이저; 주파수; 흡수체; 근적외선; 전자기파; 흡수소재; 전기전도도; absorber; electical conductivity; frequency; laser; material; near-infrared radiation; wavelength
1C002.,,금속; 분말; 입상; 합금; alloy; metal; powder,합금; alloy
1C002.a.,알루미나이드; 니켈알루미나이드; 티타늄알루미나이드; Aluminide,aluminide; aluminide; Nickel; Titanium,
1C002.b.1.,니켈; Nickel,,
1C002.b.2.,니오비움; Niobium,,
1C002.b.3.,티타늄; Titanium,,
1C002.b.4.,알루미늄; Aluminium,,
1C002.b.5.,마그네슘; Magnesium,,
1C002.c.,니켈; 티타늄; 니오비움; 마그네슘; 알루미늄; Aluminium; Magnesium; Nickel; Niobium; Titanium,,
1C003.,금속; 자성; 비정질; 나노결정; 자왜합금; alloy; amorphous; Co; cobalt; Fe; iron; magnetic; magnetostrictive; metal; nanocrystalline; Ni; nickel,,
1C004.,우라늄; 텅스텐; 티타늄; Titanium; tungsten; Uranium,합금; alloy,
1C005.,티타늄; 니오비움; 필라멘트; filament; niobium; titanium,초전도; superconductive,복합재료; composite
1C006.,윤활물질; 윤활소재; lubricants; lubricating material,유체; fluid,
1C006.b.,,윤활유; 윤활 소재; lubricating materials; lubricating oil,페닐렌; 알킬페닐렌; 페닐렌에테르; 티오-에테르; alkylphenylene; phenylene ether; thio-ethers; thio-ethers
1C006.c.,,디브로모테트라플루오르에탄; 폴리브로모트리플루오르에틸렌; 폴리클로로트리플루오르에틸렌; dibromotetrafluoroethane; polybromotrifluoroethylene; polychlorotrifluoroethylene,댐핑; 감쇠유체; 난류감쇠; 부유유체; 점성감쇠; damping; flotation
1C006.d.,불화탄소 유체; fluorocarbon; fluorocarbon fluid; perfluoro 화합물,전자냉각 유체; flourinert electronic liquid,불화탄소; 퍼플루오르알칸; 퍼플루오르알킬아민; 퍼플루오르사이클로알칸; 퍼플루오르폴리알킬에테르-트리아진; 불화탄소 전자냉각유체; fluorocarbon; perfluoroaliphatic-ethers; perfluoroalkanes; perfluoroalkylamines; perfluorocycloalkanes; perfluoropolyalkyether- triazines
1C007.,붕소; 실리콘; 질화물; 알루미나; 지르코늄; 카바이드; 질화실리콘; 폴리실라잔; 실리콘카바이드; 폴리카르보실라잔; 폴리오르가노실레인; Al2O3; alumina; boron; carbide; nitride; polycarbosilazane; polydiorganosilane; polysilazane; silicon; silicon carbide; silicon nitride; zirconium,모재; 전구체; 복합재료; 세라믹 분말; ceramic powder; composite; composite material; matrix; precursor; precursor material,섬유; 세라믹; 실리콘; ceramic; fiber; slicon
1C008.,,비불소; non-fluorinated,
1C008.a.,폴리이미드; 비스말레이미드; 폴리에테르이미드; 폴리아미드-이미드; aromatic polyamide-imide; aromatic polyetherimide; aromatic polyimide; bismaleimide; polyamide-imide; polyetherimide; polyimide,,레진; 리본; 박판; 분말; 펠렛; 필름; 테이프; flim; pellet; powder; resin; ribbon; sheet; tape
1C008.d.,폴리아릴렌케톤; polyarylene ketone,,ketone; polyarylene
1C008.e.,폴리아릴렌설파이드; polyarylene sulphide,,polyarylene; sulphide
1C008.f.,페닐렌에테르설폰; polybiphenylenethersulphone,,
1C009.,불소화된; 불소화된; 포스파젠; 폴리이미드; fluorinated; fluorinated; phosphazene; polyimide,불소화합물; 가공되지않은; fluorinated; fluorinated compound; unprocessed,탄성체; elastomer
1C010.,필라멘트소재; 섬유상 또는 필라멘트 소재; fibrous; fibrous material; Fibrous or filamentary materials; filamentary; filamentary material,섬유; 필라멘트; fiber; filament,
1C010.a.,유기섬유; 아라미드섬유; aramid fiber; kevlar; organic fiber,,방적사; 조방사; 테이프; 섬유다발; aramid fiber; aramid fibrous material; organic; prepreg; roving; tape; tow; yarn
1C010.b.,탄소섬유; carbon fiber,,탄소; carbon
1C010.c.,무기섬유; 유리섬유; glass fiber; inorganic fiber,,무기; 유리; glass; inorganic
1C010.d.,폴리아릴렌케톤; 페닐렌에테르설폰; 폴리에테르이미드; 폴리아릴렌설파이드; polyarylene ketone; polyarylene sulphide; polybiphenylenethersulphone; Polyetherimides,강화섬유; 열가소성 섬유; reinforcement fibres; thermoplastic fibres,
1C010.e.,프리폼; 무기섬유; 탄소섬유; 예비성형물; 프리프레그; 탄소섬유 예비성형물; carbon fibre preforms; preform; prepreg,레진; 코팅; 피치; 함침; carbon coated; metal coated; pitch; resin,
1C011.a.,마그네슘; 지르코늄; magnesium; Zirconium,금속; 합금; alloy; Metal,
