통제번호,키워드1,키워드2,키워드3
1C351.a.33.,뉴캐슬병 바이러스; Newcastle disease virus,,
1C351.a.34.,니파 바이러스; Nipah virus,,
1C351.a.35.,옴스크출혈열 바이러스; Omsk hemorrhagic fever virus,,
1C351.a.36.,오로푸체 바이러스; Oropouche virus,,
1C351.a.37.,소반추수역 바이러스; Peste-des-petits-ruminants virus,,
1C351.a.38.,돼지테스코 바이러스; Porcine Teschovirus; PTV,,
1C351.a.39.,포와센 바이러스; Powassan virus,,
1C351.a.4.,고병원성 조류 인플루엔자 바이러스; Avian influenza virus,,
1C351.a.40.,광견병 바이러스; 리싸 바이러스 ; Lyssavirus genus; Rabies virus,,
1C351.a.41.,1918 인플루엔자 바이러스; 1918 influenza virus　,,
1C351.a.42.,리프트밸리열 바이러스; Rift Valley fever virus,,
1C351.a.43.,우역 바이러스; Rinderpest virus,,
1C351.a.44.,라치오 바이러스; Rocio virus,,
1C351.a.45.,사비아 바이러스; Sabia virus,,
1C351.a.46.,서울 바이러스; Seoul virus,,
1C351.a.47.,중증급성호흡기증후군 코로나 바이러스; Severe acute respiratory syndrome corona virus,,
1C351.a.48.,양두 바이러스; Sheeppox virus,,
1C351.a.49.,신 놈브레 바이러스; Sin nombre virus,,
1C351.a.5.,청설병 바이러스; Bluetongue virus,,
1C351.a.50.,세인트루이스뇌염 바이러스; St. Louis encephalitis virus,,
1C351.a.51.,가성광견병바이러스; 오제스키병 ; 허피스 바이러스; 허피스 바이러스; Aujeszky's disease; Pseudorabies virus; Suid herpes virus 1,,
1C351.a.52.,돼지수포병 바이러스; Swine vesicular disease virus,,
1C351.a.53.,참진드기매개뇌염 바이러스; Tick-borne encephalitis virus,,
1C351.a.54.,두창 바이러스; Variola virus,,
1C351.a.55.,베네주엘라 마 뇌염 바이러스; Venezuelan equine encephalitis virus,,
1C351.a.56.,수포성구내염 바이러스; Vesicular stomatitis virus,,
1C351.a.57.,서부마뇌염 바이러스; Western equine encephalitis virus,,
1C351.a.58.,황열 바이러스; Yellow fever virus,,
1C351.a.6.,차파레 바이러스; Chapare virus,,
1C351.a.7.,치쿤군야 바이러스; Chikungunya virus,,
1C351.a.8.,초클로 바이러스; Choclo virus,,
1C351.a.9.,돼지콜레라 바이러스; Classical swine fever virus; Hog cholera virus,,
1C351.c.,,박테리아; Bacteria,
1C351.c.1.,탄저균; Bacillus anthracis,,
1C351.c.10.,클로스트리디움 보툴리눔균; Clostridium botulinum,클로스트리디움; Clostridium,
1C351.c.11.,클로스트리디움 부티리컴; 보튤리늄 신경독소 생산균주 ; botulinum neurotoxin producing strains; Clostridium butyricum,클로스트리디움; Clostridium,
1C351.c.12.,웰치균; 엡사일런 독소 ; Clostridium perfringens; epsilon toxin,,
1C351.c.13.,큐열균; Coxiella burnetii,,
1C351.c.14.,야토균; Francisella tularensis,,
1C351.c.15.,마이코플라즈마 카프리콜럼 아종; 카프리콜럼 오니에 ; capripneumoniae; Mycoplasma capricolum subspecies; strain F38,,
1C351.c.16.,마이코플라즈마 마이코이데스 아종; 미세콜로니형 마이코이데스 ; mycoides SC; Mycoplasma mycoides subspecies,,
1C351.c.17.,리케치아 프로와제키; Rickettsia prowazekii,,
1C351.c.18.,장티푸스균; Salmonella enterica subspecies enterica serovar Typhi; Salmonella typhi,,
1C351.c.19.,시가독소; 대장균 ; Escherichia coli; shiga toxin; STEC,,
1C351.c.2.,브루셀라 아보투스; Brucella abortus,,
1C351.c.20.,시가이질균; Shigella dysenteriae,,
1C351.c.21.,콜레라균; Vibrio cholerae,,
1C351.c.22.,페스트균; Yersinia pestis,,
1C351.c.3.,양 브루셀라균; Brucella melitensis,,
1C351.c.5.,비저균; Burkholderia mallei; Pseudomonas mallei,,
1C351.c.6.,유비저균; 멜리오도시스균; 가(성)비저균; Burkholderia pseudomallei; Pseudomonas pseudomallei,,
1C351.c.7.,클라미디아 시타치; 앵무새병 클라미디아; Chlamydia psittaci; Chlamydophila psittaci,,
1C351.c.8.,클로스트리디움 아르젠티넨세; 보툴리눔 신경독소 생산균주 ; botulinum neurotoxin producing strains; Clostridium argentinense; Clostridium botulinum Type G; 클로스트리디움 보툴리눔 G형,보툴리눔; 클로스트리디움; botulinum; Clostridium,
1C351.c.9.,클로스트리디움 바리티이; botulinum neurotoxin producing strains; Clostridium baratii,클로스트리디움; Clostridium,
1C351.d.,,독소; Toxin,
1C351.d.1.,아브린; Abrin,,
1C351.d.10.,모데신; Modeccin,,
1C351.d.11.,리신; Ricin,,
1C351.d.12.,삭시 독소; Saxitoxin,,
1C351.d.13.,베로독소; 시가독소; 베로세포독소 ; Shiga toxin; verocytotoxin; verotoxin,시가; shiga,
1C351.d.14.,독소쇼크증후군 독소; 포도상구균 장내독소; 용혈소 알파 독소; 포도상구균 장내독소 F; hemolysin alpha toxin; Staphylococcus aureus enterotoxins; Staphylococcus enterotoxin F; toxic shock syndrome toxin,포도상구균; Staphylococcus,
1C351.d.15.,T-2 독소; T-2 toxin,,
1C351.d.16.,복어 독소; Tetrodotoxin,,
1C351.d.18.,비스쿠민; Viscum album lectin 1; Viscumin,,
1C351.d.19.,볼켄신; Volkensin,,
1C351.d.20.,브레베톡신; Brevetoxins,,
1C351.d.21.,고니오톡신; Gonyautoxins,,
1C351.d.22.,노둘라린; Nodularins,,
1C351.d.23.,팔리톡신; Palytoxin,,
1C351.d.24.,네오삭시톡신; NEO; Neosaxitoxin,,
1C351.d.3.,보톡스; 보툴리눔 독소; botox; Botulinum toxin,보툴리늄독소; 보튤리눔독소; 보튤리늄독소,
1C351.d.5.,웰치균; 아이오타 독소 ; 엡실론 독소; 알파 독소; 베타1 독소; 베타2 독소; alpha toxin; beta 1 toxin; beta 2 toxin; Clostridium perfringens; epsilon toxin; iota toxin,,
1C351.d.6.,코노 독소; Conotoxin,,
1C351.d.7.,디아세톡시시르페놀; Diacetoxyscirpenol,,
1C351.d.8.,HT-2 독소; HT-2 toxin,,
1C351.d.9.,마이크로시스틴; 시아노지노신 ; Cyanoginosin; Microcystin,,
1C351.e.,,진균; Fungi,
1C351.e.1.,콕시디오이데스 이미티스; Coccidioides immitis,,
1C351.e.2.,콕시디오이데스 포사다시; Coccidiodes posadasii,,
1C353.,,유전자; 유전물질; 유전변형생물; gene; genetically modified organism; genetic element,번역 산물; translated product
1C354.,식물병원체; Plant pathogen,병원균; 병원체; pathogen,
1C354.a.,,바이러스; Virus,
1C354.a.1.,감자구균; Andean potato latent virus; Potato Andean latent tymovirus,,
1C354.a.2.,감자걀쭉병 바이로이드; Potato spindle tuber viroid,,
1C354.b.,,박테리아; Bacteria,
1C354.b.1.,구름무늬병균 ; Xanthomonas albilineans,albilineans; Xanthomonas,
1C354.b.2.,감귤궤양병; Xanthomonas axonopodis pv. citri; Xanthomonas campestris pv. citri; Xanthomonas campestris pv. Citri,axonopodis; campestris; Xanthomonas,
1C354.b.3.,벼흰잎마름병균; Pseudomonas campestris pv. Oryzae; Xanthomonas oryzae pv. Oryzae,,
1C354.b.4.,감자둘레썩음병균; Clavibacter michiganense subsp. sepedonicus; Clavibacter michiganensis subsp. sepedonicus; Clavibacter sepedonicus; Corynebacterium michiganensis subsp. sepedonicum; Corynebacterium sepedonicum,campestris; oryzae; Pseudomonas,
1C354.b.5.,"풋마름병원균; Ralstonia solanacearum, race 3, biovar 2",Ralstonia; solanacearum,
1C354.c.,,진균; Fungi,
1C354.c.1.,커피탄저병균; Colletotrichum coffeanum var. virulans; Colletotrichum kahawae,coffeanum; Colletotrichum; kahawae; virulans,
1C354.c.10.,깜부기 병원균; Tilletia indica,indica; Tilletia,
1C354.c.11.,Thecaphora solani,solani; Thecaphora,
1C354.c.2.,깨씨무늬병균; Bipolaris oryzae; Cochliobolus miyabeanus; Helminthosporium oryzae,Bipolaris; Cochliobolus; Helminthosporium; miyabeanus; oryzae,
1C354.c.3.,"Microcyclus ulei, Dothidella ulei; Pseudocercospora ulei",Dothidella; Microcyclus; Pseudocercospora; ulei,
1C354.c.4.,줄기녹병균; Puccinia graminis ssp. graminis var. graminis; Puccinia graminis ssp. graminis var. stakmanii; Puccinia graminis [syn. Puccinia graminis f. sp. tritici],graminis; Puccinia; stakmanii; tritici,
1C354.c.5.,줄녹병균; Puccinia glumarum; Puccinia striiformis,glumarum; Puccinia; striiformis,
1C354.c.6.,도열병균; Magnaporthe oryzae; Pyricularia oryzae,Magnaporthe; oryzae; Pyricularia,
1C354.c.7.,Peronosclerospora philippinensis; Peronosclerospora sacchari,Peronosclerospora; philippinensis; sacchari,
1C354.c.8.,Sclerophthora rayssiae var.zeae,rayssiae; Sclerophthora; var.zeae,
1C354.c.9.,감자암종병균; Synchytrium endobioticum,endobioticum; Synchytrium,
1C450.,독성화학물질; 독성화학작용제; 화학무기작용제; 화학무기전구체; chemical weapon agent; chemical weapon precursor; precursor; toxic chemical; toxic chemical agent,화학물질; 화학 혼합물; Chemical; chemical mixtures,혼합물; 화합물; compound; mixture
1C450.a.1.,"아미톤; Amiton; O,O-Diethyl S-[2-(diethylamino)ethyl] phosphorothiolate; O,O-디에틸 S-[2-(디에틸아미노)에틸]포스포로티올레이트",,
1C450.a.2.,"1,1,3,3,3-펜타플루오로-2-(트리플루오로메틸)-1-프로펜; 1,1,3,3,3-Pentafluoro-2-(trifluoromethyl)-1-propene; PFIB",,
1C450.a.3.,3-퀴뉴클리디닐 벤질레이트; 3-Quinuclidinyl benzilate; BZ,,
1C450.a.4.,포스겐; 카보닐 디클로라이드; Carbonyl dichloride; Phosgene,,
1C450.a.5.,시아노겐 클로라이드; Cyanogen chloride,,
1C450.a.6.,시안화수소; Hydrogen cyanide,,
1C450.a.7.,클로로피크린; 트리클로로니트로메탄; Chloropicrin; Trichloronitromethane,,
1C450.b.1.,1-Propylphosphonic acid cyclic anhydride; Diisopropyl methylphosphonate; PHOSPHONIC ACID,,phospho
1C450.b.2.,"N-Ethyl-N-isopropylphosphoramidicdichloride ; N-Ethyl-N-methylphosphoramidicdichloride ; N-Ethyl-N-propylphosphoramidicdichloride; N-Isopropyl-N-methylphosphoramidicdichloride ; N-Methyl-N-propylphosphoramidicdichloride ; N,N-Diethylphosphoramidicbromidefluoride ; N,N-Diethylphosphoramidicchloridefluoride ; N,N-Diethylphosphoramidicdichloride ; N,N-Diethylphosphoramidicdifluoride ; N,N-Diisopropylphosphoramidicdichloride ; N,N-Dimethylphosphoramidicchloridefluoride ; N,N-Dimethylphosphoramidicdichloride ; N,N-Dimethylphosphoramidicdifluoride ; N,N-Dipropylphosphoramidicdichloride ; N,N-Dipropylphosphoramidicdifluoride ",phosphoramidic,phospho
1C450.b.3.,"DiethylN,N-diethylphosphoramidate ; DiethylN,N-dimethylphosphoramidate; DiethylN,N-dimethylphosphoramidate ; DiethylN,N-dipropylphosphoramidate ; DiethylN,N-ethylmethylphosphoramidate ; DiisopropylN,N-dimethylphosphoramidate ; DimethylN,N-diisopropylphosphoramidate ; DimethylN,N-dimethylphosphoramidate ; DimethylN,N-ethyl-1-methylethylphosphoramidate ; DimethylN,N-methyl-1-methylethylphosphoramidate ; DimethylN,N-methylpropylphosphoramidate ; DipropylN,N-diethylphosphoramidate ; DipropylN,N-dimethylphosphoramidate ; DipropylN,N-dipropylphosphoramidate ; Ethylmethylethylisopropylphosphoramidate ; EthylmethylN,N-diethylphosphoramidate ; EthylmethylN,N-diisopropylphosphoramidate ; (R)-DimethylN,N-ethylmethylphosphoramidate ; (S)-DimethylN,N-ethylmethylphosphoramidate ",phosphoramidate,phospho
1C450.b.4.,"1-Chloro-N,N-diethylethanamine ; 2-Chloro-N-methyl-diethylaminehydrochloride ; 2-Chloro-N,N-diethylethanaminesulfate(1:1) ; 2-Chloro-N,N-diethylethanaminesulfate(2:1) ; 2-(N-Isopropyl-N-methylamino)ethylchloride ; 2-(N-Isopropyl-N-propylamino)ethylchloride ; 2-(N-Methyl-N-propylamino)ethylchloride ; 2-N,N-Diethylaminoethylchloride ; 2-N,N-Diethylaminoethylchloridehydrochloride ; 2-N,N-Diisopropylaminoethylchloride ; 2-N,N-Diisopropylaminoethylchloridehydrochloride ; 2-N,N-Dimethylaminoethylchloride ; 2-N,N-Dimethylaminoethylchloridehydrochloride ; 2-N,N-Dipropylaminoethylchloride ; N-(2-Chloroethyl)-N-ethyl-propylaminehydrochloride; N-(2-Chloroethyl)-N-propyl-1-propanaminehydrochloride ",chloride,
1C450.b.5.,"(2-Hydroxyethyl)tripropylammoniumchloride ; 2-(N-Methyl-N-propylamino)ethanol; 2-N,N-Diisopropylaminoethanol ; 2-N,N-Dipropylaminoethanol ; 2-N,N-Dipropylaminoethanolhydrochloride ; 2-N,N-Ethyl(1-methylethyl)aminoethanol ; 2-N,N-Ethylisopropylaminoethanolpicrate ; 2-N,N-Ethylmethylaminoethanol ; 2-N,N-Ethylpropylaminoethanol ; 2-N,N-Ethylpropylaminoethanolpicrate ; N-Ethyl-2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminiumchloride ",aminoethanol,
1C450.b.6.,"2-(Dimethylamino)ethylmercaptansodiumsalt ; 2-Mercapto-N,N,N-trimethylethanaminium ; 2-Mercapto-N,N,N-trimethylethanaminiumchloride ; 2-Mercapto-N,N,N-trimethylethanaminiumiodide ; 2-Mercapto-N,N,N-trimethylethanaminiumsaltwith4-methylbenzenesulfonicacid ; 2-(N-Ethyl-N-isopropylamino)ethanethiol; 2-(N-Ethyl-N-propylamino)ethanethiol ; 2-N,N-Diethylaminoethanethiol ; 2-N,N-Diethylaminoethanethiolhydrochloride ; 2-N,N-Diisopropylaminoethanethiol ; 2-N,N-Diisopropylaminoethanethiolhydrochloride ; 2-N,N-Dimethylaminoethanethiol ; 2-N,N-Dimethylaminoethanethiolhydrochloride ; 2-N,N-Dipropylaminoethanethiol ; N,N''-Bis(2-mercaptoethyl)-N,N,N'',N''-tetramethyl-.beta.,.beta.''-dioxo-[1,1'':4'',1''''-terphenyl]-4,4''''-d ; N,N''-Bis(2-mercaptoethyl)-N,N,N'',N''-tetramethyl-.beta.,.beta.''-dioxo-[1,1''-biphenyl]-4,4''-diethanami ; N,N-Diethyl-2-mercapto-N-methylethanaminiumiodide ",aminoethanethiol,
1C450.b.7.,에틸디에탄올아민; Ethyldiethanolamine,에탄올아민; ethanolamine,
1C450.b.8.,메틸디에탄올아민; Methyldiethanolamine,에탄올아민; ethanolamine,
1C901.b.,우해면양 뇌병증 병원체; Bovine Spongiform encephalophathy agent,,
1D001.,권선기; 제직기; 확산결합; 복합재제조; 열용융방식; 와인딩기계; 와인딩머신; 초소형성형; 강화섬유개조; 강화섬유제조; 금속분말생산; 다방향제직기; 다차원제직기; 브레이딩머신; 토우위치제어; 복합재제조장비; 비파괴검사장비; 테이프적층기계; 프리폼생산장비; 복합재료제조부품; 복합재료제조장비; 탄소섬유검사장비; 탄소섬유생산장비; 복합재료와인딩머신; 프리프레그생산장비; 필라멘트와인딩머신; 필라멘트와인딩장치; 금속합금분말생산기계; braiding; braidingmachine; filamentwindingmachine; hotmeltmethod; interlacing; Non-destructive inspection equipment; tape-laying machine; weaving; weaving; weavingmachine,와인딩; 직조기; 오염방지; 꼬여짜기장비; 주요서보위상; 필라멘트와인딩; 필라멘트와인딩; 엑스레이검사장비; 수지함침프리프레그; 수치제어초음파검사기; Fibrous or filamentary material production equipment; NDI; NDT; primaryservopositioning; reinforcement fibres; X선 촬영기,비파괴; 침투법; 핫멜트; 사슬배치; 수치제어; 개조용키트; 고분자섬유; 내화세라믹; 멀티헤드형; 수지함침조; 자분탐상법; 초음파탐상; 회전맨드릴; 복합재료장비; 알루미나섬유; 토우배열기계; 맴돌이전류시험; 실리콘카바이드섬유; 2축; 3축; Chemicalvapordeposition; CNC; contamination; CVD; fiberstraining; Interlacing; multiaxial; multidimensional; multidirectional; NDT; NDT inspectionequipment; non-destructive; refractory ceramics; superplastic forming; Tape-laying; Tow-placement; Tow-placementmachine; ultrasonic testing machine; wet-spinning
1D002.,,복합재료; 적층구조물; composites; laminate,
1D003.,도시미터; 방사능 선량계; 폭발물 탐지기; 휴대용 탐지기; 휴대용 폭발물 탐지기; 폭발물 잔존량 탐지 장치; 폭발물 탐지 장비; 탐지 장비; 가스 감지기; 가스 분석기; 가스 탐지기; 탐지 시스템; 가스 감지 장치; 가스 경보 시스템; detection equipment; detection system; dosimeter; explosive detection system; explosives detector; explosives residues detector; gas alarm system; gas analyser; gas detector; hand-held explosive detector; mass spectrometer; portable explosive detector; portable gas alarm; portable gas detector; tabletop explosive detector; X-RAY 측정기; X-ray meter,라디오미터; 질량분석기; 스펙트로미터; 전자포획검출기; 핵자기공명분광기; 가스 분석기; 가스 크로마토그래피; 이온 이동도 분광기; 분광 측정 장비; ECD; electron capture method; gas chromatography; GC; IMS; ion mobility; mass spectrometer GC-MS; MS; NMR; nuclear magnetic resonance system; radiometer; spectrometer,
1D101.,분쇄기; 섬유생산; 배치혼합기; 연속혼합기; 추진제생산; 추진제제조; 금속분말생산; 금속분말제조; 섬유위치장치; 유기섬유생산; 유리섬유생산; 탄소섬유생산; 토우위치장치; 필라멘트생산; 테이프적층기계; 유체에너지분쇄기; 필라멘트와인딩기; 필라멘트와인딩장치; 구조용 복합재료생산장비; batch mixer; continuous mixer; Filamentwindingmachine,맨드렐; 혼합기; 혼합기; 섬유연신; 습식방사; 증착장비; 복합구조물; 복합재료압착; 복합재료판재; 전자분쇄장비; 추진제구성물; 플라즈마발생기; 구형알루미늄분말; fibreplacementmachine; grinding; Metalpowderproductionequipment; milling; mixer; mixer; Tape-layingmachine; towplacementmachine,제트밀; 봄베열량계; 적외선분광계; 화학기상증착; 원자흡수분광계; 가스크로마토그래피; CVD; Fluid energy mill; jetmill; metalpowderproduction; Plasma generator; vapourdeposition; wetspinning
1D103.,스탤스; 스텔스; stealth,레이더 전파 반사; 자외선/적외선 흔적; 음향 흔적; acoustic signatures; radar reflectivity; signatures; ultraviolet/infrared signatures,
1D201.,필라멘트와인딩기; 필라멘트와인딩장치; Filamentwindingmachine,정밀 맨드렐; fiberpositioining; fiberwinding; fiberwrapping,권선; 권취
1E002.a.,폴리벤조옥사졸; 폴리벤조티아졸; polybenzothiazoles; polybenzoxazoles,,
1E002.b.,불소 탄성체 화합물; fluoroelastomer compound,,비닐 에테르 모노머; vinylether monomer
1E002.c.,세라믹 분말; 세라믹 소재; ceramic material; ceramic powder,지르코니아; 지르코늄산화물; 실리콘 질화물; 실리콘 카바이드; 붕소 질화물; 보론 카바이드; 붕소 카바이드; aluminium oxide; nitrides of boron; nitrides of silicon; silicon oxide; Zirconia; zirconium oxide,산화물; 질화물; 카바이드; carbides; nitrides; oxides
1E002.e.,전자기파; 폴리피롤; 평면흡수체; 폴리아닐린; 폴리티오펜; 폴리티에닐렌-비닐렌; 폴리페닐렌-비닐렌; 전도성 고분자; absorber; conductive polymer; electromagnetic; intrinscially conductive polymeric material; planar; Polyaniline; Poly phenylene-vinylene; Polypyrrole; Poly thienylene-vinylene; Polythiophene,고분자; 고분자; 근적외선; infrared; near; polymer; polymer,파장; 레이저; 주파수; 흡수체; 근적외선; 전자기파; 흡수소재; 전기전도도; absorber; electical conductivity; frequency; laser; material; near-infrared radiation; wavelength
1E002.f.,모재; 피치; 프리폼; 복합재료; 라미네이츠; 라미네이트; 복합구조물; 예비성형물; 적층구조물; 프리프레그; 복합재료 구조물; 유기물 모재; 세라믹 복합재료; 금속 모재; 유기 섬유; 탄소 모재; 금속 복합재; 유기 복합재; 탄소 복합재; 유기 필라멘트; 금속-카본 복합재; 카본-카본 복합재; 금속-카본 적층 구조물; 카본-카본 적층 구조물; =적층구조물; carbon-carbon composites; carbon-carbon laminate; carbon composite; carbon matrix; Ceramic composite; composite; composite structures; laminate; matrix; metal-carbon composite; metal-carbon laminate; metal composite; metal matrix; organic composite; organic fibers; organic fibre; organic filament; organic matrix; pitch-impregnated; preforms; prepregs; resin-impregnated,프리폼; 무기섬유; 유기섬유; 탄소섬유; 프리프레그; 섬유상 또는 필라멘트 소재; fibrous material; filamentary material; preforms; prepregs,금속; 섬유; 카본; 탄소; 발사체; 우주선; 항공기; 필라멘트; 항공우주; 우주비행체; 추진시스템; 그래파이트 섬유; aerospace; aircraft; carbon; C-C; fibrous; filamentary; launch vehicles; metal; propulsion; spacecraft
1E002.g.,도시미터; 방사선계측기; 방사능 선량계; 폭발물 탐지기; 휴대용 탐지기; 휴대용 폭발물 탐지기; 폭발물 잔존량 탐지 장치; 폭발물 탐지 장비; 탐지 장비; 가스 감지기; 가스 분석기; 가스 탐지기; 탐지 시스템; 가스 감지 장치; 가스 경보 시스템; detection equipment; detection system; dosimeter; explosive detection system; explosives detector; explosives residues detector; gas alarm system; gas analyser; gas detector; hand-held explosive detector; mass spectrometer; portable explosive detector; portable gas alarm; portable gas detector; tabletop explosive detector; X-RAY 측정기; X-ray meter,라디오미터; 질량분석기; 스펙트로미터; 전자포획검출기; 핵자기공명분광기; 가스 분석기; 가스 크로마토그래피; 이온 이동도 분광기; 분광 측정 장비; ECD; electron capture method; gas chromatography; GC; IMS; ion mobility spectrometer; mass spectrometer GC-MS; MS; NMR; nuclear magnetic resonance system; radiometer; spectrometer,폭발; 방사능; 방사선; 폭발물; 화학탐지장비; 입도분포측정기; 폭발물흔적탐지기; radiation; radioactive
1E103.,압력솥; 유체압력솥; autoclaves; hydroclaves,복합재료; composites,
1E104.,열분해 형성소재; pyrolytically derived material,금형; 기판; 맨드렐; mandrel; mould; substrate,전구체가스; precursor gas
2A001.,베어링; 베어링시스템; 저마찰베어링; anti-friction bearing; bearing system,베아링; bearing,
2A001.a.,볼베어링; 롤러베어링; ball bearing; roller bearing,베어링; 볼베아링; 롤러베아링; bearing,
2A001.c.,능동마그네틱베어링; 능동마그네틱베어링시스템; active magnetic bearing; active magnetic bearing system,마그네틱베어링; magnetic bearing,
2A101.,베어링; 래디얼 볼 베어링; bearing; radial ball bearing,볼베아링; 볼베어링; ball bearing,베아링
2A225.,도가니; crucible,,
2A226.,밸브; 벨브; 벨로우즈밸브; 밸로우즈 밀봉 밸브; 벨로우즈 밀봉 밸브; bellows valve; valve,발브; 밸브; 벨브; 밸로스밸브; 벨로스밸브; 밸로우즈밸브,벨로우즈; bellows
2B001.,머시닝; 공작기계; 머시닝센터; machine tool; machining center,드릴링머신; drilling machines,공작; machine tool
2B001.a.,선반; 자동선반; 터닝가공; 터닝머신; lathe; machine tool for turning; turning; turning machine,터닝; 윤곽제어; contouring control; turning,공작; machine tool
2B001.b.,밀링가공; 밀링머신; 지그보링머신; 플라이컷팅머신; fly cutting machine; jig boring machine; machine tool for milling; milling machine,밀링; 보링; 밀링기; 윤곽제어; boring; contouring control; milling,공작; machine tool
2B001.c.,연삭기; 연삭가공; machine tool for grinding,연삭; 윤곽제어; contouring control; grinding,공작; machine tool
2B001.d.,방전가공; 방전가공기; EDM; electrical discharge machine,방전; 윤곽제어; contouring control; Electrical discharge,공작; machine tool
2B001.e.,워터젯; 전자빔; 레이저빔; 유체제트; electron beam; fluid jet; laser beam; liquid jet; machine tool for electron beam; machine tool for laser beam; machine tool for waterjet; waterjet,윤곽제어; contouring control,공작; machine tool
2B001.f.,드릴링머신; 심공드릴머신; deep hole drilling machine; deep-hole-drilling machine; drilling machine,심공; 터닝; deep hole; turning,공작; machine tool
2B002.,광학다듬질; 피니싱머신; 에너지입자빔 다듬질; 유체제트 다듬질; 자기유동 다듬질; 전기유동 다듬질; 팽창 멤브레인 툴 다듬질; 광학 표면 다듬질; electrorheological finishing; energetic particle beam finishing; finishing machine; fluid jet finishing; inflatable membrane tool finishing; magnetorheological finishing; optical finishing machine; optical surface finishing machine,피니싱; 윤곽제어; contouring control; finishing,공작; machine tool
2B003.,연삭; 호닝; 다듬질; 쉐이빙; 평기어; 기어가공; 헬리컬 기어; finishing; grinding; helical gear; honing; machine tool for gear; shaving; spur gear,기어; gear,공작; machine tool
2B004.,아이소스테틱; 아이소프레스; 정수압프레스; 아이소스테틱 프레스; 열간 정수압프레스; hip; host isostatic press; isostatic press,프레스; 프레스머신; press; press machine,정수압; isostatic
2B005.,도금; 증착; 침착; 코팅; 증착장비; 표면개질; coating; deposition; overlay; surface modification,,
2B005.a.,화학기상증착; chemical vapor deposition; chemical vapour deposition; CVD,,
2B005.b.,이온주입; 이온주입생산장비; Ion implantation; Ion implantation production equipment,,
2B005.c.,전자빔 물리기상증착; EB-PVD; EBPVD; electron beam physical vapor deposition; electron beam physical vapour deposition,물리기상증착; physical vapor deposition,
2B005.d.,플라즈마 분사; 플라즈마 분사 생산장비; plasma spraying; plasma spraying production equipment,플라즈마; plasma,
2B005.e.,스퍼터 증착; 스퍼터 증착 생산장비; sputter deposition; sputter deposition production equipment,스퍼터; sputter,
2B005.f.,음극아크 증착; 음극아크 증착 생산장비; cathodic arc deposition; cathodic arc deposition production equipment,음극아크; cathodic arc,
2B005.g.,이온도금; 이온도금 생산 장비; Ion plating; Ion plating production equipment,,
2B006.,치수검사; 치수측정시스템; dimensional inspection; dimensional measuring system,,공작; machine tool
2B006.a.,3차원측정기; CMM; coordinate measuring machine,,
2B006.b.,레이저; 레이저센서; 직선변위측정기; 선형위치 피드백장치; laser; laser sensor; linear displacement measuring system; linear position feedback unit; lvdt,변위측정기; displacement measuring system,공작; machine tool
2B006.c.,엔코더; 각변위측정기; 회전위치 피드백장치; angular displacement measuring system; encoder; rotary position feedback unit,,공작; machine tool
2B006.d.,표면결함; 표면거칠기; surface defect; surface roughness,,
2B007.,로봇; 로보트; 엔드이펙터; end-effector; robot,,
2B008.,스핀들; 회전테이블; rotary table; spindle,베드; 테이블; bed; table,공작; machine tool
2B008.c.,복합회전테이블; compound rotary table,윤곽제어; contouring control,공작; machine tool
2B008.d.,틸팅스핀들; tilting spindle,윤곽제어; contouring control,공작; machine tool
2B009.,맨드릴; 유동성형; 회전성형; 유동성형기; 회전성형기; flow forming; flow forming machine; mandrel; spin forming; spin forming machine,성형; 성형기; 윤곽제어; contouring control; forming machine,
2B104.,아이소스테틱; 아이소프레스; 정수압프레스; isostatic press,정수압; isostatic,
2B105.,화학기상증착; 화학기상증착로; 화학기상증착장비; chemical vapor deposition furnace; CVD,로; furnace,
2B109.,유동성형; 회전성형; 유동성형기; 회전성형기; flow forming; spin forming,윤곽제어; contouring control,
2B116.,가진기; 진동센서; 진동시험; 진동테스트; 진동시험장비; 진동시험시스템; vibration test; vibration test system; vibration thruster,,
2B117.,로켓; 첨두; 열분해; 고밀도화; 로켓노즐; 복합재료; densification; nose tip; nose-tip; pyrolysis; rocket; rocket nozzle,,
2B119.,밸런싱; 밸런싱머신; balancing; balancing machine,,
2B120.,위치제어; 시뮬레이터; 각속도테이블; 모션시뮬레이터; motion simulator; positioning; rate table; simulator,각속도; rate,
2B121.,위치제어; 각속도테이블; 위치제어테이블; positioning; positioning table; rate table,,
2B122.,시험기; 원심분리; 원심가속도; 원심분리기; centrifugal; centrifuge,,
2B201.,머시닝; 공작기계; 머시닝센터; machine tool; machining center,윤곽제어; contouring control,공작; machine tool
2B201.a.,밀링가공; 밀링머신; machine tool for milling; milling machine,밀링; 밀링기; 윤곽제어; contouring control; milling,공작; machine tool
2B201.b.,연삭기; 연삭가공; machine tool for grinding,연삭; 윤곽제어; contouring control; grinding,공작; machine tool
2B201.c.,터닝가공; 터닝머신; machine tool for turning; turning; turning machine,터닝; turning,공작; machine tool
2B204.,금형; 주형; 아이소스테틱; 아이소프레스; 정수압프레스; die; isostatic press; mould,프레스; 프레스머신; press; press machine,정수압; isostatic
2B206.,치수; 치수검사; 치수검사기계; 치수검사장치; dimensional inspection,,공작; machine tool
2B206.a.,3차원측정기; CMM; coordinate measuring machine,측정기; measuring machine,공작; machine tool
